"","var","rel.inf","Flow.Metric.Name","Flow.Component"
"1","SP_Mag",47.2741203252459,"Spring recession magnitude","Spring recession flow"
"2","SP_Dur",9.44313617689079,"Spring duration","Spring recession flow"
"3","DS_Dur_WS",7.92026789638606,"Dry-season duration","Dry-season baseflow"
"4","Wet_Tim",6.20541947065557,"Wet-season timing","Wet-season baseflow"
"5","Wet_BFL_Dur",5.30703970655374,"Wet-season duration","Wet-season baseflow"
"6","DS_Mag_90",4.01746326318851,"Dry-season high baseflow","Dry-season baseflow"
"7","SP_ROC",3.92443260403937,"Spring rate of change","Spring recession flow"
"8","Wet_BFL_Mag_50",3.82846896943675,"Wet-season median baseflow","Wet-season baseflow"
"9","DS_Tim",3.04198064238204,"Dry-season timing","Dry-season baseflow"
"10","FA_Mag",2.89561135943579,"Fall pulse magnitude","Fall pulse flow"
"11","DS_Mag_50",2.33780207511751,"Dry-season median baseflow","Dry-season baseflow"
"12","Wet_BFL_Mag_10",1.72887213935384,"Wet-season low baseflow","Wet-season baseflow"
"13","FA_Tim",1.00610260452599,"Fall pulse timing","Fall pulse flow"
"14","SP_Tim",0.993011763116286,"Spring timing","Spring recession flow"
"15","FA_Dur",0.0762710036718803,"Fall pulse duration","Fall pulse flow"
