"","var","rel.inf","Flow.Metric.Name","Flow.Component"
"1","Wet_BFL_Dur",33.5411876985099,"Wet-season duration","Wet-season baseflow"
"2","SP_Mag",22.5683455326858,"Spring recession magnitude","Spring recession flow"
"3","SP_Tim",6.9403893675915,"Spring timing","Spring recession flow"
"4","DS_Dur_WS",6.71122232208267,"Dry-season duration","Dry-season baseflow"
"5","DS_Tim",5.06133833428776,"Dry-season timing","Dry-season baseflow"
"6","SP_ROC",4.62631128145023,"Spring rate of change","Spring recession flow"
"7","DS_Mag_50",4.13337982332677,"Dry-season median baseflow","Dry-season baseflow"
"8","SP_Dur",3.93412175137378,"Spring duration","Spring recession flow"
"9","Wet_BFL_Mag_50",3.83798350554593,"Wet-season median baseflow","Wet-season baseflow"
"10","Wet_Tim",3.28800832100901,"Wet-season timing","Wet-season baseflow"
"11","DS_Mag_90",1.92784408322549,"Dry-season high baseflow","Dry-season baseflow"
"12","FA_Mag",1.74053196372733,"Fall pulse magnitude","Fall pulse flow"
"13","Wet_BFL_Mag_10",1.18761150938453,"Wet-season low baseflow","Wet-season baseflow"
"14","FA_Dur",0.351523888808206,"Fall pulse duration","Fall pulse flow"
"15","FA_Tim",0.150200616991122,"Fall pulse timing","Fall pulse flow"
