COMID,CLASS,core0.05,core0.10,core0.15,core0.20,core0.25,core0.30,core0.35,core0.40,core0.45,core0.50,core0.55,core0.60,core0.65,core0.70,core0.75,core0.80,core0.85,core0.90,core0.95,strcls_int,strcls,geometry
20332660,8,0.58413588,0.60426322,0.606033,0.64073994,0.64073994,0.64702057,0.65998032,0.69046404,0.69224343,0.69224343,0.7315419,0.85018692,0.85018692,0.85018692,0.85564589,0.85564589,0.85564589,0.86731796,0.87113484,2,possibly constrained,"list(c(-116.751722729218, -116.751830195885, -116.752671729217, -116.752507795883, -116.752479329217, -116.751989595884, -116.751771195885, -116.751877729218, -116.752202995884, -116.752202395884, -116.751984595884, -116.751467795885, -116.751250129219, -116.751520929218, -116.751955195884, -116.752471195883, -116.753258129216, -116.753528395882, -116.753690929215, -116.754369529214, -116.75466779588, -116.755264995879, -116.755427595879, -116.755780529212, -116.758279329208, -116.758632195874, -116.759092995873, 
-116.759717729206, -116.760423929205, -116.760913129204, -116.76137519587, -116.761891795869, -116.761946529202, 32.9310952155512, 32.9318972155499, 32.932470815549, 32.933158015548, 32.9340514822133, 32.9345092822126, 32.9352652155447, 32.9368004155424, 32.9373734822082, 32.9378318155408, 32.938106482207, 32.9384038155398, 32.9386784822061, 32.9393432155384, 32.9397102155378, 32.9399628155374, 32.940673882203, 32.9417280822014, 32.9421176822008, 32.9426682821999, 32.9430580155326, 32.9435398155318, 
32.9438606821981, 32.9441130821976, 32.9449400821963, 32.9451926155293, 32.9460406821947, 32.9463392155276, 32.9465460155272, 32.9465464155272, 32.9464552155274, 32.9461120821945, 32.9459058821949))"
20348867,8,0.58413588,0.60426322,0.606033,0.64073994,0.64073994,0.64702057,0.65998032,0.69046404,0.69224343,0.69224343,0.7315419,0.85018692,0.85018692,0.85018692,0.85018692,0.85564589,0.85564589,0.86731796,0.87113484,2,possibly constrained,"list(c(-117.570469927947, -117.570579394614, -117.571427394612, -117.572138594611, -117.57293159461, -117.573560327942, 33.5154558146441, 33.515318281311, 33.5149522813116, 33.514929614645, 33.5151820146446, 33.5156862813105))"
20325361,8,0.5285040755,0.60426322,0.60426322,0.62543801,0.64073994,0.64073994,0.64702057,0.65998032,0.69046404,0.69224343,0.69224343,0.69224343,0.7216749910000012,0.85018692,0.85018692,0.85564589,0.85564589,0.86731796,0.87113484,2,possibly constrained,"list(c(-116.684850529322, -116.684173129323, -116.683252129324, -116.682195595993, -116.681978795993, -116.681843129326, -116.681002995994, -116.680487995995, -116.67986472933, -116.679241329331, -116.678834929331, 32.6683454826257, 32.668162482626, 32.6680482826262, 32.6680258826262, 32.6679114159597, 32.6674304159605, 32.6669724159612, 32.6664456159619, 32.6660792826292, 32.6654380159636, 32.6650714826308))"
20342991,3,0.56984869,0.60426322,0.606033,0.64073994,0.64073994,0.64073994,0.6519163115,0.69046404,0.69046404,0.69224343,0.69224343,0.7315419,0.85018692,0.85018692,0.85018692,0.85564589,0.85564589,0.86731796,0.86731796,2,possibly constrained,"list(c(-116.568579196169, -116.569889396167, -116.570981729499, -116.570981729499, 33.3530220815628, 33.3532060815625, 33.3527254148967, 33.3526566815634))"
20344477,3,0.29617237,0.3474343,0.38914789,0.40829885,0.41761266,0.45004569,0.49815508,0.49815508,0.51458513,0.57734564,0.58332089,0.5968458,0.60999244,0.61933121,0.6273615,0.65381825,0.6663325005000007,0.78487929,0.91821365,3,likely constrained,"list(c(-116.754921729213, -116.755823595878, 33.2424326150678, 33.2429088150671))"
20331374,8,0.56984869,0.60426322,0.606033,0.64073994,0.64073994,0.64702057,0.65520722,0.69046404,0.69224343,0.69224343,0.69224343,0.80710135,0.85018692,0.85018692,0.85564589,0.85564589,0.86731796,0.86731796,0.86731796,2,possibly constrained,"list(c(-117.151273528598, -117.152440795263, -117.15387939526, -117.154422328593, -117.155209595258, -117.15591552859, -117.157951195254, -117.16020399525, -117.160936728583, -117.161506595249, -117.162157928581, -117.163297928579, -117.164275128577, -117.164953528576, -117.165414928576, -117.165469128576, 32.8508210823424, 32.8509352823422, 32.8507516823425, 32.8509120156756, 32.8508200823424, 32.8510720156753, 32.8508194156757, 32.8501772823434, 32.8498792156772, 32.8494438156778, 32.8492832156781, 
32.8488016156789, 32.8487326156789, 32.848457482346, 32.8481136156799, 32.8479532156802))"
20332716,8,0.45004569,0.5584901920000002,0.58413588,0.60906943,0.60906943,0.62543801,0.62543801,0.65455248,0.65520722,0.65998032,0.69219839,0.6952572740000003,0.7560374975000012,0.85018692,0.85018692,0.85137043,0.85564589,0.86731796,1.0031734,2,possibly constrained,"list(c(-116.676357796002, -116.676547729335, -116.676764396001, -116.677171529334, -116.677171196, -116.676926529334, -116.676925996001, -116.677034596001, -116.678447395998, -116.678990595998, -116.680430195995, -116.680674595995, -116.680755995995, -116.680646795995, -116.680836795995, -116.681651729327, -116.682439195992, -116.684095529323, -116.686051395987, -116.687463729318, -116.690043929314, -116.691238529312, -116.691862729311, -116.693030129309, -116.693926129308, -116.695202329306, -116.696370129304, 
-116.696722729303, -116.696993729303, -116.698351129301, -116.699762595965, -116.700441395964, -116.701038795963, 32.9285120822218, 32.9280766822226, 32.9269082155576, 32.9261748155588, 32.9256020155597, 32.9252126155603, 32.9244336155615, 32.9242274155618, 32.9244100822283, 32.9243182155618, 32.9238822155624, 32.9236530155628, 32.923446815563, 32.9227136155642, 32.9224844822312, 32.9221404155651, 32.9216818155657, 32.9204896822343, 32.9204430155677, 32.9198238155687, 32.9192954822361, 32.9182180822378, 
32.9174158155724, 32.9165216822405, 32.9159942155746, 32.9153978822422, 32.9149848155763, 32.9144576155769, 32.9135868155783, 32.9127382155797, 32.9114774155816, 32.9110416822489, 32.9108122155827))"
948070417,8,0.52626722,0.60426322,0.60426322,0.606033,0.64073994,0.64073994,0.64702057,0.69046404,0.69046404,0.69224343,0.69224343,0.71636204,0.85018692,0.85018692,0.85018692,0.85564589,0.85564589,0.86731796,0.8890752464999985,2,possibly constrained,"list(c(-117.1746687973, -117.174877595228, -117.176868995225, -117.179187728554, -117.183061595215, -117.185926395211, -117.187290595209, -117.187619395208, -117.187701328541, -117.189883328538, -117.191028995203, -117.1926657952, -117.195284995196, -117.198668595191, -117.19940539519, -117.201342195187, -117.203524395183, -117.204070128516, -117.204397728515, -117.204916728515, -117.20570819518, -117.206417795179, -117.206854528512, -117.20780972851, 33.2728312592499, 33.2730648816871, 33.2735910816862, 
33.2740940150188, 33.2754900150166, 33.2768402816812, 33.2773666150137, 33.2794284150105, 33.2795200150103, 33.2793356150106, 33.2793808150105, 33.27972361501, 33.2805010816755, 33.2821028150063, 33.2823774150059, 33.2825824150056, 33.2825352150057, 33.2827182150054, 33.2829928150049, 33.2837944150037, 33.2843666816696, 33.2846640150023, 33.2849616150019, 33.2853962150013))"
20350737,8,0.5834215205000001,0.60426322,0.606033,0.64073994,0.64073994,0.64702057,0.65520722,0.69046404,0.69224343,0.69224343,0.69224343,0.85018692,0.85018692,0.85018692,0.8523307000000002,0.85564589,0.85564589,0.86731796,0.87113484,2,possibly constrained,"list(c(-117.465594394777, -117.465595194777, -117.465868794776, 33.4729534813768, 33.4736864813757, 33.4738924147087))"
20334722,8,0.54796489,0.60426322,0.61933121,0.64073994,0.64702057,0.64702057,0.64702057,0.64702057,0.65381825,0.65998032,0.692218658,0.71636204,0.7265111450000006,0.78487929,0.78487929,0.85018692,0.85564589,0.88745888,1.00730755,2,possibly constrained,"list(c(-116.765708195863, -116.766055195862, -116.766912129194, -116.768937329191, -116.770922529188, -116.773933129184, -116.777212329178, -116.779564529175, 32.8925014822777, 32.8926966156108, 32.8928752822771, 32.8928826156105, 32.8929424156104, 32.8929020822771, 32.8924522822779, 32.8918784822787))"
22548393,8,0.56984869,0.60426322,0.606033,0.62543801,0.64073994,0.64073994,0.64702057,0.6796458600000006,0.69046404,0.69224343,0.69224343,0.7586358720000007,0.85018692,0.85018692,0.85018692,0.85564589,0.85564589,0.86731796,0.87113484,2,possibly constrained,"list(c(-117.32813539499, -117.32778019499, -117.327288394991, -117.326386794993, -117.326059194993, -117.325949994993, -117.325813528327, 33.4374008147653, 33.437423681432, 33.4372860147654, 33.4368502814328, 33.4363920147669, 33.4360942147673, 33.4359796147675))"
20332844,8,0.19572719,0.24448390500000014,0.2888176645000004,0.43289018800000023,0.52158305,0.530062477,0.56875438,0.60426322,0.6151287635000001,0.64702057,0.64702057,0.65381825,0.68284466,0.72245968,0.73129612,0.7804828420000003,0.85564589,0.9199488610000002,1.00730755,2,possibly constrained,"list(c(-116.710219195949, -116.710572129282, -116.710871129281, -116.71209552928, -116.712177129279, -116.712313329279, -116.712205395946, -116.711771595947, -116.712071195946, -116.712995729278, -116.713566995944, -116.713784395944, -116.713920195943, 32.8811812822953, 32.8812268156286, 32.8814558156282, 32.8840670156242, 32.8841126822908, 32.8845708822901, 32.8852812156223, 32.8860834822877, 32.8869768156197, 32.8882134156178, 32.8892668822828, 32.8894730156158, 32.8894958156158))"
20333790,8,0.5470100625000002,0.60426322,0.606033,0.62421665,0.64073994,0.64073994,0.64702057,0.65998032,0.69046404,0.69224343,0.69224343,0.7315419,0.85018692,0.85018692,0.85018692,0.85564589,0.85564589,0.86731796,0.86731796,2,possibly constrained,"list(c(-116.901837528985, -116.902432928984, -116.903623728982, -116.904273395648, -116.90508532898, -116.905491328979, -116.906573928978, -116.907088128977, -116.907331928977, -116.907873328976, -116.909848995639, -116.910904528971, -116.912392928969, -116.913664795633, -116.913826995633, -116.913799528966, -116.914069995633, -116.914881795631, -116.915558528964, -116.916938795628, -116.917723595627, -116.919780595624, -116.921999928954, -116.922649395619, -116.923245128952, -116.92427392895, -116.926195795614, 
-116.926791528946, -116.927224795612, -116.927630928945, -116.929038328943, -116.930040328941, -116.931150195606, -116.931447995606, -116.931637795605, -116.931746328939, -116.933127395603, -116.934914928934, -116.935321528933, -116.936025595599, -116.936458995598, -116.937109395597, -116.938246595595, -116.938571795595, -116.939708928926, -116.939898595593, -116.939953128926, -116.940115595592, -116.941117328924, -116.94163179559, -116.942227795589, 32.5865772160859, 32.5864854827527, 32.5866226827526, 
32.5868516827522, 32.5868286160856, 32.5867368160857, 32.5868052827523, 32.5870114160853, 32.5871946160849, 32.5874006827513, 32.5875146160845, 32.5874226827513, 32.586986882752, 32.5865052827527, 32.5862074827532, 32.5853138160879, 32.5849012827552, 32.5846718827556, 32.5847176160889, 32.584625416089, 32.5846480827556, 32.5848992827552, 32.5849444160885, 32.585058682755, 32.5856084160875, 32.585928816087, 32.5867300160858, 32.587142216085, 32.5875772827511, 32.5877834160841, 32.5878972160839, 32.5887904160825, 
32.5889962160822, 32.5893398160817, 32.5896834160812, 32.5902104160803, 32.5912408160787, 32.5931188827424, 32.5939434827412, 32.5944702160737, 32.594905416073, 32.5959820160714, 32.5966688160703, 32.5970810827363, 32.5975846160689, 32.5977678160686, 32.5981342827346, 32.5982718160678, 32.5984544827341, 32.5987520827337, 32.5993704160661))"
