"COMID","Biol","Threshold","alteration_50pct_time","n","overall.altered.2metric"
20325019,"ASCI","Threshold25","Altered",1,"Altered"
20325019,"ASCI","Threshold25","Unaltered",1,"Altered"
20325019,"CSCI","Threshold75","Altered",1,"Altered"
20325019,"CSCI","Threshold75","Unaltered",1,"Altered"
20325033,"ASCI","Threshold25","Altered",2,"Altered"
20325033,"CSCI","Threshold75","Altered",2,"Altered"
20325035,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325035,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325043,"ASCI","Threshold25","Altered",1,"Altered"
20325043,"ASCI","Threshold25","Unaltered",1,"Altered"
20325043,"CSCI","Threshold75","Altered",1,"Altered"
20325043,"CSCI","Threshold75","Unaltered",1,"Altered"
20325049,"ASCI","Threshold25","Altered",2,"Altered"
20325049,"CSCI","Threshold75","Altered",2,"Altered"
20325051,"ASCI","Threshold25","Altered",1,"Altered"
20325051,"ASCI","Threshold25","Unaltered",1,"Altered"
20325051,"CSCI","Threshold75","Altered",1,"Altered"
20325051,"CSCI","Threshold75","Unaltered",1,"Altered"
20325055,"ASCI","Threshold25","Altered",1,"Altered"
20325055,"ASCI","Threshold25","Unaltered",1,"Altered"
20325055,"CSCI","Threshold75","Altered",1,"Altered"
20325055,"CSCI","Threshold75","Unaltered",1,"Altered"
20325057,"ASCI","Threshold25","Altered",2,"Altered"
20325057,"CSCI","Threshold75","Altered",2,"Altered"
20325059,"ASCI","Threshold25","Altered",1,"Altered"
20325059,"ASCI","Threshold25","Unaltered",1,"Altered"
20325059,"CSCI","Threshold75","Altered",1,"Altered"
20325059,"CSCI","Threshold75","Unaltered",1,"Altered"
20325065,"ASCI","Threshold25","Altered",1,"Altered"
20325065,"ASCI","Threshold25","Unaltered",1,"Altered"
20325065,"CSCI","Threshold75","Altered",1,"Altered"
20325065,"CSCI","Threshold75","Unaltered",1,"Altered"
20325071,"ASCI","Threshold25","Altered",1,"Altered"
20325071,"ASCI","Threshold25","Unaltered",1,"Altered"
20325071,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325075,"ASCI","Threshold25","Altered",1,"Altered"
20325075,"ASCI","Threshold25","Unaltered",1,"Altered"
20325075,"CSCI","Threshold75","Altered",1,"Altered"
20325075,"CSCI","Threshold75","Unaltered",1,"Altered"
20325077,"ASCI","Threshold25","Altered",1,"Altered"
20325077,"ASCI","Threshold25","Unaltered",1,"Altered"
20325077,"CSCI","Threshold75","Altered",1,"Altered"
20325077,"CSCI","Threshold75","Unaltered",1,"Altered"
20325081,"ASCI","Threshold25","Altered",1,"Altered"
20325081,"ASCI","Threshold25","Unaltered",1,"Altered"
20325081,"CSCI","Threshold75","Altered",1,"Altered"
20325081,"CSCI","Threshold75","Unaltered",1,"Altered"
20325083,"ASCI","Threshold25","Altered",1,"Altered"
20325083,"ASCI","Threshold25","Unaltered",1,"Altered"
20325083,"CSCI","Threshold75","Altered",1,"Altered"
20325083,"CSCI","Threshold75","Unaltered",1,"Altered"
20325087,"ASCI","Threshold25","Altered",1,"Altered"
20325087,"ASCI","Threshold25","Unaltered",1,"Altered"
20325087,"CSCI","Threshold75","Altered",1,"Altered"
20325087,"CSCI","Threshold75","Unaltered",1,"Altered"
20325093,"ASCI","Threshold25","Altered",2,"Altered"
20325093,"CSCI","Threshold75","Altered",2,"Altered"
20325097,"ASCI","Threshold25","Altered",1,"Altered"
20325097,"ASCI","Threshold25","Unaltered",1,"Altered"
20325097,"CSCI","Threshold75","Altered",1,"Altered"
20325097,"CSCI","Threshold75","Unaltered",1,"Altered"
20325111,"ASCI","Threshold25","Altered",2,"Altered"
20325111,"CSCI","Threshold75","Altered",2,"Altered"
20325115,"ASCI","Threshold25","Altered",2,"Altered"
20325115,"CSCI","Threshold75","Altered",1,"Altered"
20325115,"CSCI","Threshold75","Unaltered",1,"Altered"
20325121,"ASCI","Threshold25","Altered",1,"Altered"
20325121,"ASCI","Threshold25","Unaltered",1,"Altered"
20325121,"CSCI","Threshold75","Altered",1,"Altered"
20325121,"CSCI","Threshold75","Unaltered",1,"Altered"
20325127,"ASCI","Threshold25","Altered",1,"Altered"
20325127,"ASCI","Threshold25","Unaltered",1,"Altered"
20325127,"CSCI","Threshold75","Altered",1,"Altered"
20325127,"CSCI","Threshold75","Unaltered",1,"Altered"
20325133,"ASCI","Threshold25","Altered",1,"Altered"
20325133,"ASCI","Threshold25","Unaltered",1,"Altered"
20325133,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325137,"ASCI","Threshold25","Altered",1,"Altered"
20325137,"ASCI","Threshold25","Unaltered",1,"Altered"
20325137,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325141,"ASCI","Threshold25","Altered",1,"Altered"
20325141,"ASCI","Threshold25","Unaltered",1,"Altered"
20325141,"CSCI","Threshold75","Altered",2,"Altered"
20325143,"ASCI","Threshold25","Altered",1,"Altered"
20325143,"ASCI","Threshold25","Unaltered",1,"Altered"
20325143,"CSCI","Threshold75","Altered",1,"Altered"
20325143,"CSCI","Threshold75","Unaltered",1,"Altered"
20325145,"ASCI","Threshold25","Altered",2,"Altered"
20325145,"CSCI","Threshold75","Altered",2,"Altered"
20325149,"ASCI","Threshold25","Altered",1,"Altered"
20325149,"ASCI","Threshold25","Unaltered",1,"Altered"
20325149,"CSCI","Threshold75","Altered",1,"Altered"
20325149,"CSCI","Threshold75","Unaltered",1,"Altered"
20325155,"ASCI","Threshold25","Altered",1,"Altered"
20325155,"ASCI","Threshold25","Unaltered",1,"Altered"
20325155,"CSCI","Threshold75","Altered",1,"Altered"
20325155,"CSCI","Threshold75","Unaltered",1,"Altered"
20325157,"ASCI","Threshold25","Altered",1,"Altered"
20325157,"ASCI","Threshold25","Unaltered",1,"Altered"
20325157,"CSCI","Threshold75","Altered",2,"Altered"
20325161,"ASCI","Threshold25","Altered",1,"Altered"
20325161,"ASCI","Threshold25","Unaltered",1,"Altered"
20325161,"CSCI","Threshold75","Altered",1,"Altered"
20325161,"CSCI","Threshold75","Unaltered",1,"Altered"
20325163,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325163,"CSCI","Threshold75","Altered",1,"Altered"
20325163,"CSCI","Threshold75","Unaltered",1,"Altered"
20325167,"ASCI","Threshold25","Altered",1,"Altered"
20325167,"ASCI","Threshold25","Unaltered",1,"Altered"
20325167,"CSCI","Threshold75","Altered",1,"Altered"
20325167,"CSCI","Threshold75","Unaltered",1,"Altered"
20325169,"ASCI","Threshold25","Altered",1,"Altered"
20325169,"ASCI","Threshold25","Unaltered",1,"Altered"
20325169,"CSCI","Threshold75","Altered",1,"Altered"
20325169,"CSCI","Threshold75","Unaltered",1,"Altered"
20325173,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325173,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325177,"ASCI","Threshold25","Altered",1,"Altered"
20325177,"ASCI","Threshold25","Unaltered",1,"Altered"
20325177,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325185,"ASCI","Threshold25","Altered",1,"Altered"
20325185,"ASCI","Threshold25","Unaltered",1,"Altered"
20325185,"CSCI","Threshold75","Altered",1,"Altered"
20325185,"CSCI","Threshold75","Unaltered",1,"Altered"
20325187,"ASCI","Threshold25","Altered",1,"Altered"
20325187,"ASCI","Threshold25","Unaltered",1,"Altered"
20325187,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325189,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325189,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325195,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325195,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325197,"ASCI","Threshold25","Altered",1,"Altered"
20325197,"ASCI","Threshold25","Unaltered",1,"Altered"
20325197,"CSCI","Threshold75","Altered",1,"Altered"
20325197,"CSCI","Threshold75","Unaltered",1,"Altered"
20325199,"ASCI","Threshold25","Altered",1,"Altered"
20325199,"ASCI","Threshold25","Unaltered",1,"Altered"
20325199,"CSCI","Threshold75","Altered",1,"Altered"
20325199,"CSCI","Threshold75","Unaltered",1,"Altered"
20325205,"ASCI","Threshold25","Altered",1,"Altered"
20325205,"ASCI","Threshold25","Unaltered",1,"Altered"
20325205,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325209,"ASCI","Threshold25","Altered",1,"Altered"
20325209,"ASCI","Threshold25","Unaltered",1,"Altered"
20325209,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325217,"ASCI","Threshold25","Altered",1,"Altered"
20325217,"ASCI","Threshold25","Unaltered",1,"Altered"
20325217,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325219,"ASCI","Threshold25","Altered",1,"Altered"
20325219,"ASCI","Threshold25","Unaltered",1,"Altered"
20325219,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325221,"ASCI","Threshold25","Altered",1,"Altered"
20325221,"ASCI","Threshold25","Unaltered",1,"Altered"
20325221,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325229,"ASCI","Threshold25","Altered",1,"Altered"
20325229,"ASCI","Threshold25","Unaltered",1,"Altered"
20325229,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325233,"ASCI","Threshold25","Altered",2,"Altered"
20325233,"CSCI","Threshold75","Altered",2,"Altered"
20325243,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325243,"CSCI","Threshold75","Altered",1,"Altered"
20325243,"CSCI","Threshold75","Unaltered",1,"Altered"
20325245,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325245,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325249,"ASCI","Threshold25","Altered",1,"Altered"
20325249,"ASCI","Threshold25","Unaltered",1,"Altered"
20325249,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325251,"ASCI","Threshold25","Altered",1,"Altered"
20325251,"ASCI","Threshold25","Unaltered",1,"Altered"
20325251,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325255,"ASCI","Threshold25","Altered",1,"Altered"
20325255,"ASCI","Threshold25","Unaltered",1,"Altered"
20325255,"CSCI","Threshold75","Altered",1,"Altered"
20325255,"CSCI","Threshold75","Unaltered",1,"Altered"
20325257,"ASCI","Threshold25","Altered",1,"Altered"
20325257,"ASCI","Threshold25","Unaltered",1,"Altered"
20325257,"CSCI","Threshold75","Altered",1,"Altered"
20325257,"CSCI","Threshold75","Unaltered",1,"Altered"
20325259,"ASCI","Threshold25","Altered",1,"Altered"
20325259,"ASCI","Threshold25","Unaltered",1,"Altered"
20325259,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325267,"ASCI","Threshold25","Altered",1,"Altered"
20325267,"ASCI","Threshold25","Unaltered",1,"Altered"
20325267,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325269,"ASCI","Threshold25","Altered",1,"Altered"
20325269,"ASCI","Threshold25","Unaltered",1,"Altered"
20325269,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325277,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325277,"CSCI","Threshold75","Altered",1,"Altered"
20325277,"CSCI","Threshold75","Unaltered",1,"Altered"
20325279,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325279,"CSCI","Threshold75","Altered",1,"Altered"
20325279,"CSCI","Threshold75","Unaltered",1,"Altered"
20325281,"ASCI","Threshold25","Altered",1,"Altered"
20325281,"ASCI","Threshold25","Unaltered",1,"Altered"
20325281,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325283,"ASCI","Threshold25","Altered",1,"Altered"
20325283,"ASCI","Threshold25","Unaltered",1,"Altered"
20325283,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325295,"ASCI","Threshold25","Altered",1,"Altered"
20325295,"ASCI","Threshold25","Unaltered",1,"Altered"
20325295,"CSCI","Threshold75","Altered",1,"Altered"
20325295,"CSCI","Threshold75","Unaltered",1,"Altered"
20325297,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325297,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325299,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325299,"CSCI","Threshold75","Altered",1,"Altered"
20325299,"CSCI","Threshold75","Unaltered",1,"Altered"
20325301,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325301,"CSCI","Threshold75","Altered",1,"Altered"
20325301,"CSCI","Threshold75","Unaltered",1,"Altered"
20325303,"ASCI","Threshold25","Altered",1,"Altered"
20325303,"ASCI","Threshold25","Unaltered",1,"Altered"
20325303,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325305,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325305,"CSCI","Threshold75","Altered",1,"Altered"
20325305,"CSCI","Threshold75","Unaltered",1,"Altered"
20325307,"ASCI","Threshold25","Altered",1,"Altered"
20325307,"ASCI","Threshold25","Unaltered",1,"Altered"
20325307,"CSCI","Threshold75","Altered",1,"Altered"
20325307,"CSCI","Threshold75","Unaltered",1,"Altered"
20325309,"ASCI","Threshold25","Altered",1,"Altered"
20325309,"ASCI","Threshold25","Unaltered",1,"Altered"
20325309,"CSCI","Threshold75","Altered",1,"Altered"
20325309,"CSCI","Threshold75","Unaltered",1,"Altered"
20325311,"ASCI","Threshold25","Altered",1,"Altered"
20325311,"ASCI","Threshold25","Unaltered",1,"Altered"
20325311,"CSCI","Threshold75","Altered",1,"Altered"
20325311,"CSCI","Threshold75","Unaltered",1,"Altered"
20325313,"ASCI","Threshold25","Altered",1,"Altered"
20325313,"ASCI","Threshold25","Unaltered",1,"Altered"
20325313,"CSCI","Threshold75","Altered",1,"Altered"
20325313,"CSCI","Threshold75","Unaltered",1,"Altered"
20325317,"ASCI","Threshold25","Altered",1,"Altered"
20325317,"ASCI","Threshold25","Unaltered",1,"Altered"
20325317,"CSCI","Threshold75","Altered",1,"Altered"
20325317,"CSCI","Threshold75","Unaltered",1,"Altered"
20325319,"ASCI","Threshold25","Altered",1,"Altered"
20325319,"ASCI","Threshold25","Unaltered",1,"Altered"
20325319,"CSCI","Threshold75","Altered",1,"Altered"
20325319,"CSCI","Threshold75","Unaltered",1,"Altered"
20325321,"ASCI","Threshold25","Altered",1,"Altered"
20325321,"ASCI","Threshold25","Unaltered",1,"Altered"
20325321,"CSCI","Threshold75","Altered",1,"Altered"
20325321,"CSCI","Threshold75","Unaltered",1,"Altered"
20325323,"ASCI","Threshold25","Altered",1,"Altered"
20325323,"ASCI","Threshold25","Unaltered",1,"Altered"
20325323,"CSCI","Threshold75","Altered",1,"Altered"
20325323,"CSCI","Threshold75","Unaltered",1,"Altered"
20325329,"ASCI","Threshold25","Altered",2,"Altered"
20325329,"CSCI","Threshold75","Altered",2,"Altered"
20325337,"ASCI","Threshold25","Altered",1,"Altered"
20325337,"ASCI","Threshold25","Unaltered",1,"Altered"
20325337,"CSCI","Threshold75","Altered",1,"Altered"
20325337,"CSCI","Threshold75","Unaltered",1,"Altered"
20325343,"ASCI","Threshold25","Altered",1,"Altered"
20325343,"ASCI","Threshold25","Unaltered",1,"Altered"
20325343,"CSCI","Threshold75","Altered",1,"Altered"
20325343,"CSCI","Threshold75","Unaltered",1,"Altered"
20325347,"ASCI","Threshold25","Altered",1,"Altered"
20325347,"ASCI","Threshold25","Unaltered",1,"Altered"
20325347,"CSCI","Threshold75","Altered",1,"Altered"
20325347,"CSCI","Threshold75","Unaltered",1,"Altered"
20325349,"ASCI","Threshold25","Altered",1,"Altered"
20325349,"ASCI","Threshold25","Unaltered",1,"Altered"
20325349,"CSCI","Threshold75","Altered",1,"Altered"
20325349,"CSCI","Threshold75","Unaltered",1,"Altered"
20325351,"ASCI","Threshold25","Altered",2,"Altered"
20325351,"CSCI","Threshold75","Altered",2,"Altered"
20325361,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325361,"CSCI","Threshold75","Altered",1,"Altered"
20325361,"CSCI","Threshold75","Unaltered",1,"Altered"
20325365,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325365,"CSCI","Threshold75","Altered",1,"Altered"
20325365,"CSCI","Threshold75","Unaltered",1,"Altered"
20325367,"ASCI","Threshold25","Altered",2,"Altered"
20325367,"CSCI","Threshold75","Altered",2,"Altered"
20325381,"ASCI","Threshold25","Altered",1,"Altered"
20325381,"ASCI","Threshold25","Unaltered",1,"Altered"
20325381,"CSCI","Threshold75","Altered",1,"Altered"
20325381,"CSCI","Threshold75","Unaltered",1,"Altered"
20325385,"ASCI","Threshold25","Altered",1,"Altered"
20325385,"ASCI","Threshold25","Unaltered",1,"Altered"
20325385,"CSCI","Threshold75","Altered",1,"Altered"
20325385,"CSCI","Threshold75","Unaltered",1,"Altered"
20325387,"ASCI","Threshold25","Altered",1,"Altered"
20325387,"ASCI","Threshold25","Unaltered",1,"Altered"
20325387,"CSCI","Threshold75","Altered",1,"Altered"
20325387,"CSCI","Threshold75","Unaltered",1,"Altered"
20325389,"ASCI","Threshold25","Altered",2,"Altered"
20325389,"CSCI","Threshold75","Altered",2,"Altered"
20325403,"ASCI","Threshold25","Altered",2,"Altered"
20325403,"CSCI","Threshold75","Altered",2,"Altered"
20325407,"ASCI","Threshold25","Altered",2,"Altered"
20325407,"CSCI","Threshold75","Altered",2,"Altered"
20325409,"ASCI","Threshold25","Altered",1,"Altered"
20325409,"ASCI","Threshold25","Unaltered",1,"Altered"
20325409,"CSCI","Threshold75","Altered",1,"Altered"
20325409,"CSCI","Threshold75","Unaltered",1,"Altered"
20325415,"ASCI","Threshold25","Altered",2,"Altered"
20325415,"CSCI","Threshold75","Altered",2,"Altered"
20325417,"ASCI","Threshold25","Altered",2,"Altered"
20325417,"CSCI","Threshold75","Altered",2,"Altered"
20325419,"ASCI","Threshold25","Altered",1,"Altered"
20325419,"ASCI","Threshold25","Unaltered",1,"Altered"
20325419,"CSCI","Threshold75","Altered",1,"Altered"
20325419,"CSCI","Threshold75","Unaltered",1,"Altered"
20325421,"ASCI","Threshold25","Altered",1,"Altered"
20325421,"ASCI","Threshold25","Unaltered",1,"Altered"
20325421,"CSCI","Threshold75","Altered",1,"Altered"
20325421,"CSCI","Threshold75","Unaltered",1,"Altered"
20325423,"ASCI","Threshold25","Altered",1,"Altered"
20325423,"ASCI","Threshold25","Unaltered",1,"Altered"
20325423,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325431,"ASCI","Threshold25","Altered",1,"Altered"
20325431,"ASCI","Threshold25","Unaltered",1,"Altered"
20325431,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325435,"ASCI","Threshold25","Altered",1,"Altered"
20325435,"ASCI","Threshold25","Unaltered",1,"Altered"
20325435,"CSCI","Threshold75","Altered",1,"Altered"
20325435,"CSCI","Threshold75","Unaltered",1,"Altered"
20325443,"ASCI","Threshold25","Altered",1,"Altered"
20325443,"ASCI","Threshold25","Unaltered",1,"Altered"
20325443,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325447,"ASCI","Threshold25","Altered",1,"Altered"
20325447,"ASCI","Threshold25","Unaltered",1,"Altered"
20325447,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325451,"ASCI","Threshold25","Altered",1,"Altered"
20325451,"ASCI","Threshold25","Unaltered",1,"Altered"
20325451,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325459,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325459,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325465,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325465,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325467,"ASCI","Threshold25","Altered",1,"Altered"
20325467,"ASCI","Threshold25","Unaltered",1,"Altered"
20325467,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325481,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325481,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325495,"ASCI","Threshold25","Altered",2,"Altered"
20325495,"CSCI","Threshold75","Altered",1,"Altered"
20325495,"CSCI","Threshold75","Unaltered",1,"Altered"
20325497,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325497,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325503,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325503,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325507,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325507,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325509,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325509,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325513,"ASCI","Threshold25","Altered",1,"Altered"
20325513,"ASCI","Threshold25","Unaltered",1,"Altered"
20325513,"CSCI","Threshold75","Altered",1,"Altered"
20325513,"CSCI","Threshold75","Unaltered",1,"Altered"
20325521,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325521,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325535,"ASCI","Threshold25","Altered",1,"Altered"
20325535,"ASCI","Threshold25","Unaltered",1,"Altered"
20325535,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325539,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325539,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325541,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325541,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325553,"ASCI","Threshold25","Altered",1,"Altered"
20325553,"ASCI","Threshold25","Unaltered",1,"Altered"
20325553,"CSCI","Threshold75","Altered",1,"Altered"
20325553,"CSCI","Threshold75","Unaltered",1,"Altered"
20325559,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325559,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325565,"ASCI","Threshold25","Altered",1,"Altered"
20325565,"ASCI","Threshold25","Unaltered",1,"Altered"
20325565,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325567,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325567,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325573,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325573,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325583,"ASCI","Threshold25","Altered",1,"Altered"
20325583,"ASCI","Threshold25","Unaltered",1,"Altered"
20325583,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325587,"ASCI","Threshold25","Altered",1,"Altered"
20325587,"ASCI","Threshold25","Unaltered",1,"Altered"
20325587,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325589,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325589,"CSCI","Threshold75","Altered",1,"Altered"
20325589,"CSCI","Threshold75","Unaltered",1,"Altered"
20325595,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325595,"CSCI","Threshold75","Altered",1,"Altered"
20325595,"CSCI","Threshold75","Unaltered",1,"Altered"
20325601,"ASCI","Threshold25","Altered",2,"Altered"
20325601,"CSCI","Threshold75","Altered",2,"Altered"
20325637,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325637,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325643,"ASCI","Threshold25","Altered",1,"Altered"
20325643,"ASCI","Threshold25","Unaltered",1,"Altered"
20325643,"CSCI","Threshold75","Altered",1,"Altered"
20325643,"CSCI","Threshold75","Unaltered",1,"Altered"
20325657,"ASCI","Threshold25","Altered",2,"Altered"
20325657,"CSCI","Threshold75","Altered",2,"Altered"
20325659,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325659,"CSCI","Threshold75","Altered",1,"Altered"
20325659,"CSCI","Threshold75","Unaltered",1,"Altered"
20325667,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325667,"CSCI","Threshold75","Unaltered",2,"Unaltered"
20325669,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325669,"CSCI","Threshold75","Altered",1,"Altered"
20325669,"CSCI","Threshold75","Unaltered",1,"Altered"
20325671,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325671,"CSCI","Threshold75","Altered",1,"Altered"
20325671,"CSCI","Threshold75","Unaltered",1,"Altered"
20326313,"ASCI","Threshold25","Altered",1,"Altered"
20326313,"ASCI","Threshold25","Unaltered",1,"Altered"
20326313,"CSCI","Threshold75","Altered",1,"Altered"
20326313,"CSCI","Threshold75","Unaltered",1,"Altered"
20326321,"ASCI","Threshold25","Altered",1,"Altered"
20326321,"ASCI","Threshold25","Unaltered",1,"Altered"
20326321,"CSCI","Threshold75","Altered",1,"Altered"
20326321,"CSCI","Threshold75","Unaltered",1,"Altered"
20326323,"ASCI","Threshold25","Altered",1,"Altered"
