"COMID","Biol","Threshold","alteration_50pct_time","n","overall.altered.2metric"
20324447,"ASCI","Threshold25","Altered",2,"Altered"
20324447,"CSCI","Threshold75","Altered",2,"Altered"
20324955,"ASCI","Threshold25","Altered",2,"Altered"
20324955,"CSCI","Threshold75","Altered",2,"Altered"
20324957,"ASCI","Threshold25","Altered",2,"Altered"
20324957,"CSCI","Threshold75","Altered",2,"Altered"
20324959,"ASCI","Threshold25","Altered",1,"Altered"
20324959,"ASCI","Threshold25","Unaltered",1,"Altered"
20324959,"CSCI","Threshold75","Altered",1,"Altered"
20324959,"CSCI","Threshold75","Unaltered",1,"Altered"
20324965,"ASCI","Threshold25","Altered",1,"Altered"
20324965,"ASCI","Threshold25","Unaltered",1,"Altered"
20324965,"CSCI","Threshold75","Altered",1,"Altered"
20324965,"CSCI","Threshold75","Unaltered",1,"Altered"
20324967,"ASCI","Threshold25","Altered",1,"Altered"
20324967,"ASCI","Threshold25","Unaltered",1,"Altered"
20324967,"CSCI","Threshold75","Altered",1,"Altered"
20324967,"CSCI","Threshold75","Unaltered",1,"Altered"
20324975,"ASCI","Threshold25","Altered",1,"Altered"
20324975,"ASCI","Threshold25","Unaltered",1,"Altered"
20324975,"CSCI","Threshold75","Altered",1,"Altered"
20324975,"CSCI","Threshold75","Unaltered",1,"Altered"
20324977,"ASCI","Threshold25","Altered",2,"Altered"
20324977,"CSCI","Threshold75","Altered",2,"Altered"
20324983,"ASCI","Threshold25","Altered",1,"Altered"
20324983,"ASCI","Threshold25","Unaltered",1,"Altered"
20324983,"CSCI","Threshold75","Altered",1,"Altered"
20324983,"CSCI","Threshold75","Unaltered",1,"Altered"
20324987,"ASCI","Threshold25","Altered",1,"Altered"
20324987,"ASCI","Threshold25","Unaltered",1,"Altered"
20324987,"CSCI","Threshold75","Altered",1,"Altered"
20324987,"CSCI","Threshold75","Unaltered",1,"Altered"
20324989,"ASCI","Threshold25","Altered",1,"Altered"
20324989,"ASCI","Threshold25","Unaltered",1,"Altered"
20324989,"CSCI","Threshold75","Altered",1,"Altered"
20324989,"CSCI","Threshold75","Unaltered",1,"Altered"
20324991,"ASCI","Threshold25","Altered",1,"Altered"
20324991,"ASCI","Threshold25","Unaltered",1,"Altered"
20324991,"CSCI","Threshold75","Altered",1,"Altered"
20324991,"CSCI","Threshold75","Unaltered",1,"Altered"
20324993,"ASCI","Threshold25","Altered",1,"Altered"
20324993,"ASCI","Threshold25","Unaltered",1,"Altered"
20324993,"CSCI","Threshold75","Altered",2,"Altered"
20325005,"ASCI","Threshold25","Altered",2,"Altered"
20325005,"CSCI","Threshold75","Altered",1,"Altered"
20325005,"CSCI","Threshold75","Unaltered",1,"Altered"
20325007,"ASCI","Threshold25","Altered",2,"Altered"
20325007,"CSCI","Threshold75","Altered",1,"Altered"
20325007,"CSCI","Threshold75","Unaltered",1,"Altered"
20325009,"ASCI","Threshold25","Altered",2,"Altered"
20325009,"CSCI","Threshold75","Altered",1,"Altered"
20325009,"CSCI","Threshold75","Unaltered",1,"Altered"
20325017,"ASCI","Threshold25","Unaltered",2,"Unaltered"
20325017,"CSCI","Threshold75","Unaltered",2,"Unaltered"
