"","metric","Threshold25","Threshold50","Threshold75","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1","H_ASCI_DS_Dur_WS_0.75_Positive",105.265955583838,66.9366651371849,35.7160348853454,111,"Positive","ASCI","H_ASCI",0.75,"DS_Dur_WS"
"2","H_ASCI_DS_Mag_50_0.75_Positive",1.05049650266943,0.539472853608458,0.249368028145403,222,"Positive","ASCI","H_ASCI",0.75,"DS_Mag_50"
"3","H_ASCI_DS_Mag_90_0.75_Positive",1.5716804339559,0.893834589882584,0.418653645313532,205,"Positive","ASCI","H_ASCI",0.75,"DS_Mag_90"
"4","H_ASCI_DS_Tim_0.75_Positive",25.453870733383,16.0069024504193,8.41953222488527,116,"Positive","ASCI","H_ASCI",0.75,"DS_Tim"
"5","H_ASCI_FA_Dur_0.75_Positive",5.08741892639389,2.92818547891729,1.3013438256388,22,"Positive","ASCI","H_ASCI",0.75,"FA_Dur"
"6","H_ASCI_FA_Mag_0.75_Positive",135.233375597609,90.1445009952179,45.1632054458172,31,"Positive","ASCI","H_ASCI",0.75,"FA_Mag"
"7","H_ASCI_FA_Tim_0.75_Positive",NA,NA,NA,12,"Positive","ASCI","H_ASCI",0.75,"FA_Tim"
"8","H_ASCI_Q99_0.75_Positive",1210.49819629938,692.674482920899,320.523709493976,278,"Positive","ASCI","H_ASCI",0.75,"Q99"
"9","H_ASCI_SP_Dur_0.75_Positive",55.7340359584388,38.0907816873922,20.5630611194407,114,"Positive","ASCI","H_ASCI",0.75,"SP_Dur"
"10","H_ASCI_SP_Mag_0.75_Positive",955.947237692522,536.223902150644,245.259791302419,235,"Positive","ASCI","H_ASCI",0.75,"SP_Mag"
"11","H_ASCI_SP_ROC_0.75_Positive",0.0475562541126989,0.0274078432126975,0.0126933313479974,183,"Positive","ASCI","H_ASCI",0.75,"SP_ROC"
"12","H_ASCI_SP_Tim_0.75_Positive",42.4654106978678,26.1959229717375,12.9934953922313,256,"Positive","ASCI","H_ASCI",0.75,"SP_Tim"
"13","H_ASCI_Wet_BFL_Dur_0.75_Positive",76.7120950155537,46.8609798512588,23.1643345625204,268,"Positive","ASCI","H_ASCI",0.75,"Wet_BFL_Dur"
"14","H_ASCI_Wet_BFL_Mag_10_0.75_Positive",1.64476579260265,1.09480543382705,0.548729580315141,166,"Positive","ASCI","H_ASCI",0.75,"Wet_BFL_Mag_10"
"15","H_ASCI_Wet_BFL_Mag_50_0.75_Positive",11.6919427234354,7.60123379672946,3.51052487002352,167,"Positive","ASCI","H_ASCI",0.75,"Wet_BFL_Mag_50"
"16","H_ASCI_Wet_Tim_0.75_Positive",13.271875779911,8.90518397515039,5.14311239515513,96,"Positive","ASCI","H_ASCI",0.75,"Wet_Tim"
"17","H_ASCI_DS_Dur_WS_0.86_Positive",91.3794383479748,54.4964297996265,26.6457724606784,111,"Positive","ASCI","H_ASCI",0.86,"DS_Dur_WS"
"18","H_ASCI_DS_Mag_50_0.86_Positive",0.517217346331114,0.275838222847943,0.12093057561256,222,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_50"
"19","H_ASCI_DS_Mag_90_0.86_Positive",0.915663064751941,0.493205418840442,0.218862320529683,205,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_90"
"20","H_ASCI_DS_Tim_0.86_Positive",28.0810049958445,16.7053410524898,8.251825940522,116,"Positive","ASCI","H_ASCI",0.86,"DS_Tim"
"21","H_ASCI_FA_Dur_0.86_Positive",5.02772875195002,2.75985457805326,1.18920311661251,22,"Positive","ASCI","H_ASCI",0.86,"FA_Dur"
"22","H_ASCI_FA_Mag_0.86_Positive",3.01000835073241,1.79631130177297,0.918388794311174,31,"Positive","ASCI","H_ASCI",0.86,"FA_Mag"
"23","H_ASCI_FA_Tim_0.86_Positive",NA,NA,NA,12,"Positive","ASCI","H_ASCI",0.86,"FA_Tim"
"24","H_ASCI_Q99_0.86_Positive",707.162379139493,378.493898930199,166.422543329954,278,"Positive","ASCI","H_ASCI",0.86,"Q99"
