"","metric","Threshold25","Threshold50","Threshold75","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1","CSCI_DS_Dur_WS_0.63_Positive",148.411247148827,107.112456908221,63.6373409625262,144,"Positive","CSCI","CSCI",0.63,"DS_Dur_WS"
"2","CSCI_DS_Mag_50_0.63_Positive",0.804407717046231,1.71592435488307,2.84654677876394,269,"Positive","CSCI","CSCI",0.63,"DS_Mag_50"
"3","CSCI_DS_Mag_90_0.63_Positive",43.6959814098204,27.8551418796409,13.0564832719179,245,"Positive","CSCI","CSCI",0.63,"DS_Mag_90"
"4","CSCI_DS_Tim_0.63_Positive",51.7032162274,36.6774562532564,21.8346283050266,165,"Positive","CSCI","CSCI",0.63,"DS_Tim"
"5","CSCI_FA_Dur_0.63_Positive",5.21745577275184,3.2662231683191,1.67006920544533,26,"Positive","CSCI","CSCI",0.63,"FA_Dur"
"6","CSCI_FA_Mag_0.63_Positive",767.940904058088,516.556052643916,265.171201229744,41,"Positive","CSCI","CSCI",0.63,"FA_Mag"
"7","CSCI_FA_Tim_0.63_Positive",1.5,1,0.5,17,"Positive","CSCI","CSCI",0.63,"FA_Tim"
"8","CSCI_Q99_0.63_Positive",1485.09479227664,936.878402411924,480.547058364857,315,"Positive","CSCI","CSCI",0.63,"Q99"
"9","CSCI_SP_Dur_0.63_Positive",61.3195563177557,44.5730545509918,27.0391200979966,158,"Positive","CSCI","CSCI",0.63,"SP_Dur"
"10","CSCI_SP_Mag_0.63_Positive",1700.04194181788,1094.31347351421,558.911098639308,277,"Positive","CSCI","CSCI",0.63,"SP_Mag"
"11","CSCI_SP_ROC_0.63_Positive",0.287453679802262,0.187041754604523,0.0923581050610001,214,"Positive","CSCI","CSCI",0.63,"SP_ROC"
"12","CSCI_SP_Tim_0.63_Positive",46.4959391826983,31.9057168459316,18.4558708175818,307,"Positive","CSCI","CSCI",0.63,"SP_Tim"
"13","CSCI_Wet_BFL_Dur_0.63_Positive",80.6876735016256,53.8548507862228,30.3560140114764,303,"Positive","CSCI","CSCI",0.63,"Wet_BFL_Dur"
"14","CSCI_Wet_BFL_Mag_10_0.63_Positive",1.65994366231499,1.12048327901894,0.566140855435336,197,"Positive","CSCI","CSCI",0.63,"Wet_BFL_Mag_10"
"15","CSCI_Wet_BFL_Mag_50_0.63_Positive",360.108365036248,260.644563372496,148.384630499596,207,"Positive","CSCI","CSCI",0.63,"Wet_BFL_Mag_50"
"16","CSCI_Wet_Tim_0.63_Positive",19.9716670524144,14.5710693628813,8.97541904269965,151,"Positive","CSCI","CSCI",0.63,"Wet_Tim"
"17","CSCI_DS_Dur_WS_0.79_Positive",54.5426974036808,34.4721748044378,18.168898362588,144,"Positive","CSCI","CSCI",0.79,"DS_Dur_WS"
"18","CSCI_DS_Mag_50_0.79_Positive",1.06219605830582,2.12632183059373,3.1925258649342,269,"Positive","CSCI","CSCI",0.79,"DS_Mag_50"
"19","CSCI_DS_Mag_90_0.79_Positive",19.8977513651882,10.2038770371081,4.60502292451208,245,"Positive","CSCI","CSCI",0.79,"DS_Mag_90"
"20","CSCI_DS_Tim_0.79_Positive",23.6098539323947,14.440007873272,7.3710867028816,165,"Positive","CSCI","CSCI",0.79,"DS_Tim"
"21","CSCI_FA_Dur_0.79_Positive",5.16786271274212,3.06118456341477,1.43257878157973,26,"Positive","CSCI","CSCI",0.79,"FA_Dur"
"22","CSCI_FA_Mag_0.79_Positive",147.641365686986,77.8902950809242,36.2951917360217,41,"Positive","CSCI","CSCI",0.79,"FA_Mag"
"23","CSCI_FA_Tim_0.79_Positive",1.5,1,0.5,17,"Positive","CSCI","CSCI",0.79,"FA_Tim"
"24","CSCI_Q99_0.79_Positive",376.6091164669,212.337517945691,98.5941415092875,315,"Positive","CSCI","CSCI",0.79,"Q99"
"25","CSCI_SP_Dur_0.79_Positive",47.9653219795442,31.0626258130349,16.3810526477811,158,"Positive","CSCI","CSCI",0.79,"SP_Dur"
"26","CSCI_SP_Mag_0.79_Positive",470.6631103021,262.194921815176,120.497691267874,277,"Positive","CSCI","CSCI",0.79,"SP_Mag"
"27","CSCI_SP_ROC_0.79_Positive",0.117321674167449,0.0666014754117204,0.0312409056669876,214,"Positive","CSCI","CSCI",0.79,"SP_ROC"
"28","CSCI_SP_Tim_0.79_Positive",24.5471922288843,14.7457820039424,7.33807359765493,307,"Positive","CSCI","CSCI",0.79,"SP_Tim"
"29","CSCI_Wet_BFL_Dur_0.79_Positive",38.003377022606,22.87042598532,11.4296324939714,303,"Positive","CSCI","CSCI",0.79,"Wet_BFL_Dur"
